Depth,GR,RT,nphi,sw,PHIE,VSH,RHOB,VS,VP,pimpmod,simpmod,vpvsmod,EPSILON,GAMA,DELTA,c11,c13,c33,c44,c66,a,b,c,a_ratio,b_ratio,c_ratio,crack_density,profundidad,VP_0,VP_45,VP_90,VP_Backus_5,VP_Backus_10,VP_Backus_15,VP_Backus_20,VP_Backus_30,VP_Backus_50,VP_Backus,Diff_Backus,Diff_Backus_%,RF_pred_VP_0,PNN_pred_VP_0,CNN_pred_VP_0,RF_pred_VP_45,PNN_pred_VP_45,CNN_pred_VP_45,RF_pred_VP_90,PNN_pred_VP_90,CNN_pred_VP_90,RF_pred_VP_Backus,PNN_pred_VP_Backus,CNN_pred_VP_Backus
2616.708,62.5657,10.6555,0.3287,0.3803,0.1569,0.2149,2.2614,1824.6923,3264.5339,7382.417,4126.3589,1.7891,0.029335,0.036942,0.02033,25514106261,13071111827,24100150435,7529335799,8085633246,7382416.961,7583787213,3361.717473,0.043563517,0.155060138,0.046220194,0.008334252,766,3264.5339,3305.067169,3360.299002,3242.435967,3270.917686,3281.527233,3268.594352,3267.173789,3305.510109,3270.917686,6.383785557,0.195549679,3264.508201,3261.682971,3046.871,3305.607343,3294.085754,3132.3555,3359.16664,3348.409313,3113.3936,3264.328332,3270.792714,3063.7964
2616.8604,65.3267,10.5871,0.3311,0.3153,0.1786,0.1823,2.2505,1976.9979,3426.407,7711.1289,4449.2339,1.7331,0.02716,0.032703,0.018156,27856680269,12941396294,26421466224,8796125828,9371445234,7711128.954,8855802070,3520.743505,-0.068385053,-0.182805396,-0.075821623,0.007507845,767,3426.407,3465.224765,3519.468214,3249.649276,3281.305893,3288.400612,3265.398582,3260.17937,3303.970074,3281.305893,-145.1011065,-4.234788995,3426.143546,3416.265762,3272.7632,3463.988313,3453.852705,3363.3313,3521.586579,3516.4683,3352.3167,3342.116053,3345.812173,3191.6199
2617.0127,67.7316,10.3274,0.3332,0.2771,0.1935,0.1625,2.2645,1798.4363,3180.1411,7201.4292,4072.5588,1.7683,0.025925,0.03018,0.01687,24089007988,11722463303,22901561998,7324237942,7766328944,7201429.521,7376265269,3263.664249,0.053679594,0.150086961,0.054810593,0.007020413,768,3180.1411,3214.164635,3262.586258,3325.474014,3284.523507,3282.63512,3263.311915,3255.614668,3303.061736,3284.523507,104.3824073,3.282319998,3180.571327,3210.260896,3033.333,3215.439895,3246.548508,3107.4224,3263.108618,3295.518955,3069.3635,3263.304645,3260.719549,3041.8447
2617.1653,69.2491,10.3513,0.3307,0.2878,0.1945,0.1658,2.2628,1939.5322,3358.0356,7598.563,4388.7734,1.7314,0.026305,0.030705,0.017154,26858654559,12350091205,25516244914,8512167448,9034899651,7598562.956,8570742857,3447.540782,-0.001727614,0.000694422,0.017592839,0.007133915,769,3358.0356,3394.519817,3446.368726,3352.739997,3298.667792,3272.00859,3264.070252,3247.247693,3304.008867,3298.667792,-59.36780849,-1.767932671,3358.108644,3359.6006,3215.6665,3396.6436,3395.875197,3299.8787,3447.219065,3441.119603,3277.527,3306.443607,3307.070732,3151.951
2617.3176,72.4465,10.1184,0.3256,0.3213,0.1805,0.1908,2.2235,1957.1262,3411.4895,7585.4468,4351.6704,1.7431,0.028105,0.034035,0.018874,27332256432,12962226588,25877672463,8516767578,9096503947,7585446.903,8576696641,3508.729477,-0.006404406,-0.002727466,-0.005306365,0.007793286,770,3411.4895,3451.556591,3507.369412,3330.526423,3292.392802,3264.685776,3262.000115,3244.971567,3303.647892,3292.392802,-119.0966978,-3.491046882,3411.383201,3386.519119,3243.9387,3451.625905,3425.274003,3331.6,3504.834122,3478.293431,3320.3286,3305.814424,3322.930331,3178.448
2617.47,69.6942,9.9646,0.3224,0.322,0.2023,0.1598,2.2166,1957.5214,3400.2625,7537.0215,4339.0415,1.737,0.026095,0.030039,0.01683,26965370421,12484851214,25627852784,8493767444,9004056004,7537021.857,8553335869,3490.160189,-0.024546274,-0.054412413,-0.029988728,0.007016447,771,3400.2625,3436.751567,3488.99235,3356.884434,3315.871187,3269.538396,3250.315853,3245.16111,3303.449228,3315.871187,-84.39131275,-2.481905816,3400.304435,3374.028913,3240.279,3438.441202,3411.352318,3325.567,3488.46247,3458.99103,3305.5442,3305.313265,3313.892391,3174.1726
2617.6223,67.3053,9.6735,0.3211,0.3181,0.23,0.1046,2.2195,1903.9089,3313.4797,7354.2686,4225.7261,1.7404,0.02196,0.02259,0.012968,25438470520,11489316943,24368218370,8045396966,8408888001,7354268.194,8100363638,3387.048544,-0.00448902,-0.009200882,-0.003130716,0.005523471,772,3313.4797,3342.413005,3386.243714,3336.27575,3302.411251,3255.89776,3244.550206,3249.988754,3299.145493,3302.411251,-11.06844893,-0.334043059,3313.62202,3307.974241,3157.587,3342.218208,3340.569259,3235.253,3385.6116,3379.235077,3194.9353,3294.746037,3281.955842,3117.466
2617.7749,71.1688,9.1802,0.3229,0.3181,0.2327,0.1006,2.2159,1896.6963,3303.9978,7321.3286,4202.8892,1.742,0.021695,0.022071,0.012702,25239243088,11403376435,24189654001,7971604644,8323487216,7321328.725,8026174968,3376.461237,-0.000179345,-0.035159291,-0.010310701,0.005421364,773,3303.9978,3332.409703,3375.678032,3306.323661,3277.285829,3261.190577,3242.718992,3250.147306,3296.647056,3277.285829,-26.71197078,-0.80847423,3304.058346,3301.207796,3148.0913,3331.701624,3333.212831,3224.242,3375.087639,3372.228315,3183.021,3275.765697,3279.605205,3111.0955
2617.9272,68.4747,8.6103,0.3257,0.3401,0.208,0.1519,2.2472,1850.2809,3257.394,7320.0161,4157.9512,1.7605,0.02559,0.029025,0.016312,25064520440,12001934450,23844175536,7693377760,8139978339,7320015.797,7748883597,3341.826418,0.001390699,0.000140087,0.0010408,0.006819406,774,3257.394,3291.516831,3340.750712,3253.571151,3283.260229,3255.255637,3245.951198,3251.863262,3292.446566,3283.260229,25.86622932,0.794077392,3257.379673,3269.418907,3083.7087,3292.273358,3299.829245,3162.0952,3343.962551,3347.054257,3128.5537,3266.459502,3270.917014,3075.0557
2618.0796,63.3301,8.1627,0.3268,0.3546,0.2079,0.1529,2.2482,1849.9719,3260.4763,7330.2026,4159.1069,1.7624,0.025685,0.029172,0.01639,25127693124,12074666304,23899952561,7694230756,8143142956,7330202.818,7749969191,3345.306401,-0.054512658,-0.138097182,-0.038213997,0.006850106,775,3260.4763,3294.772435,3344.221634,3225.720623,3259.031021,3243.70181,3244.321381,3257.926511,3286.865259,3259.031021,-1.445278986,-0.044327235,3260.630307,3270.761595,3082.8284,3297.483518,3301.155763,3161.9033,3347.336191,3348.446154,3129.016,3264.843622,3271.406771,3075.2795
2618.2319,65.1893,6.8185,0.3257,0.3599,0.208,0.1517,2.2116,1740.4924,3138.592,6941.3105,3849.2732,1.8033,0.02557,0.028995,0.016296,22900073231,11659597825,21785940246,6699630388,7088141954,6941310.067,6750331978,3219.880644,0.012283868,0.053691415,0.006809269,0.00681308,776,3138.592,3171.442073,3218.845797,3212.796211,3229.971916,3247.124636,3256.536704,3256.213463,3285.082852,3229.971916,91.37991623,2.911493951,3138.736576,3146.850668,3006.026,3171.060991,3186.365254,3067.4307,3216.242282,3225.808409,3041.368,3220.514139,3224.794595,3020.0298
2618.3845,65.6378,5.7426,0.3246,0.3459,0.236,0.0938,2.214,1787.3083,3173.9395,7027.1021,3957.1006,1.7758,0.02118,0.02115,0.012224,23248377136,11040345963,22303596777,7072558704,7371727937,7027102.053,7122673172,3241.880494,0.05478348,0.117144605,0.019626922,0.005235675,777,3173.9395,3200.445069,3241.163539,3185.282242,3208.608838,3242.549296,3260.48058,3257.094449,3285.271378,3208.608838,34.66933798,1.092312503,3174.184717,3182.393595,3034.7754,3200.703237,3216.662242,3099.5295,3243.43664,3260.465564,3060.9734,3226.704208,3252.713813,3035.7478
2618.5369,65.9796,4.7697,0.3239,0.3333,0.2348,0.093,2.2929,1862.543,3237.3027,7422.8115,4270.625,1.7381,0.02104,0.020994,0.012136,25041064916,11183498377,24029887260,7954222410,8288204301,7422811.361,8007893199,3306.137148,-0.063813492,-0.173536246,-0.030550106,0.00519904,778,3237.3027,3264.152889,3305.415549,3157.066905,3201.965255,3234.188387,3250.492739,3259.069063,3283.258851,3201.965255,-35.3374447,-1.091570606,3237.423175,3267.623045,3154.8398,3267.599545,3299.614402,3227.6953,3312.468036,3339.510011,3178.6038,3229.081572,3280.70532,3106.633
2618.6892,70.6408,5.2284,0.3246,0.3238,0.1912,0.176,2.2315,1730.3877,3120.7407,6963.9326,3861.3601,1.8035,0.02716,0.032136,0.017904,22913145139,11791710910,21732628746,6681650113,7111093129,6963932.872,6732129143,3206.661541,-0.001236446,0.003337298,-0.000957707,0.007425425,779,3120.7407,3155.898965,3205.500017,3164.872288,3194.893046,3230.845522,3255.253819,3265.600624,3280.573784,3194.893046,74.1523463,2.376113668,3120.720064,3139.932131,2991.4739,3157.960914,3180.892984,3056.9185,3208.189719,3222.990801,3030.591,3199.979657,3219.421877,3013.9473
